Unique Id,Company Name,City,State,Type,Status,Abbreviation
1001,1000bulbs.com,Mesquite,Texas,vendor,Active,
AALBERT,AALBERTS SURFACE TECHNOLOGIES,Livonia,Michigan,vendor,Active,
ABANAKI,ABANAKI OIL SKIMMERS,Chagrin Falls,Ohio,vendor,Active,
ABS,ABSOLUTE WELDING & MACHINING,Borden,Indiana,Client Vendor,Active,
ACERO,ACERO MFG.,Bedford,Ohio,Client Vendor,Active,
ACI,"ACI MACHINE TOOL SALES, LLC",Lawrenceburg,Kentucky,vendor,Active,
ADI1,Adion Systems,Vancouver,British Columbia,vendor,Active,
AER,AERIAL TITANS,Tucker,Georgia,vendor,Active,
AICHI,AICHI FORGE,Georgetown,Kentucky,Client Vendor,Active,Aichi
AIR-HP,AIR HYDRO POWER INC.,Lexington,Kentucky,vendor,Active,
AIR-TECH,AIR TECHNOLOGIES,Louisville,Kentucky,vendor,Active,
AIR-TUR,"AIR TURBINE TOOLS, INC.",Boca Raton,Florida,vendor,Active,
AISIN,"AISIN AUTOMOTIVE CASTING, LLC.",London,Kentucky,Client Vendor,Active,Aisin
AJEP,AJAX-ERIE,Erie,Pennsylvania,Client Vendor,Active,Ajax
ALL1,All World Machinery Supply,Roscoe,Illinois,vendor,Active,
ALL-ELC,"ALLIED ELECTRIC, INC.",Grand Rapids,Michigan,vendor,Active,
ALRO-PLAST,ALRO PLASTICS,Louisville,Kentucky,vendor,Active,
ALRO-STEEL,ALRO STEEL CORPORATION,Chicago,Illinois,Client Vendor,Active,
AMADA,AMADA MACHINERY AMERICA,Brea,California,vendor,Active,
AMAZON,AMAZON,,,vendor,Active,
AAM,AMERICAN AXLE & MANUFCATURING,Columbus,Indiana,Client Vendor,Active,AAM
AME1,American Bolt,New Berlin,Wisconsin,vendor,Active,
AHP,AMERICAN HIGH PERFORMANCE SEALS,Oakdale,Pennsylvania,vendor,Active,
AR,AMERICAN ROOFING & METAL,Louisville,Kentucky,vendor,Active,
ANC-BRO,ANCHOR BRONZE,Cleveland,Ohio,vendor,Active,
ANC-DAN,ANCHOR DANLY,Chicago,Illinois,vendor,Active,
APPLE,APPLE,,,vendor,Active,
AIT,APPLIED INDUSTRIAL TECHNOLOGIES,Cleveland,Ohio,vendor,Active,
ATLAS-BRON,ATLAS BRONZE,Trenton,New Jersey,Client Vendor,Active,
ATLAS,ATLAS MACHINE AND SUPPLY,Louisville,Kentucky,Client Vendor,Active,
AIM,AUTOMATED INDUSTRIAL MOTION,Fruitport,Michigan,vendor,Active,
AV-TECH,AV-TECH MACHINE,Chino,California,vendor,Active,
AVON,AVON PROTECTION SYSTEMS,Cadillac,Michigan,Client Vendor,Active,
B&H-ROCK,B&H TOOL WORKS INC. ROCKCASTLE,Mount Vernon,Kentucky,Client Vendor,Active,
BAE,BAE SYSTEMS,Charlotte,North Carolina,Client Vendor,Active,BAE
BAR-INT,"BARNES INTL, INC.",Rockford,Illinois,vendor,Active,
BCE,"BCE CLEANING SYSTEMS, LLC",Calhoun,Georgia,vendor,Active,
BEAR-DIR,BEARINGS DIRECT,Glendale,California,vendor,Active,
BECH,BECHTEL NATIONAL INC.,Richmond,Kentucky,Client Vendor,Active,
BFPMT,BHARAT FORGE,Surgoinsville,Tennessee,Client Vendor,Active,Bharat
BICO,"BICO AKRON, INC",Dallas,Texas,Client Vendor,Active,
BSP,BLUEGRASS STEEL PRODUCTS,Mount Vernon,Kentucky,Client Vendor,Active,
BODY,BODYCOTE-WINCHESTER,Winchester,Kentucky,vendor,Active,
BFPA,BONNEY FORGE,Mount Union,Pennsylvania,Client Vendor,Active,Bonney
BORIDE,BORIDE ENGINEERED ABRASIVES,Traverse City,Michigan,vendor,Active,
BOXX,BOXX TECHNOLOGIES,Austin,Texas,vendor,Active,
BL,"Brunner & Lay, Inc.",Springdale,Arkansas,Client Vendor,Active,Brunner & Lay
BUWW,"BUWW COVERINGS, INC.",Rockford,Illinois,vendor,Active,
CDF,CANTON DROP FORGE,Canton,Ohio,Client Vendor,Active,Canton
CAPE,CAPE ELECTRICAL SUPPLY,Somerset,Kentucky,vendor,Active,
CAR-PROD,"CARBIDE PRODUCTS, INC.",Georgetown,Kentucky,vendor,Active,
CAR2,CARLSON TOOL & MANUFACTURING CORP.,Cedarburg,Wisconsin,vendor,Active,
CSM,"CAROLINA SPECIALTY METALS, INC.",Charlotte,North Carolina,vendor,Active,
CTC,CARPENTER TECHNOLOGY CORPORATION,Reading,Pennsylvania,Client Vendor,Active,
CAR1,CARR LANE MANUFACTURING CO.,St. Louis,Missouri,vendor,Active,
CSGS,CATT SPINDLE GRINDING SERVICE,Fort Gratiot,Michigan,vendor,Active,
CCI,CCI INDUSTRIAL SERVICES,Somerset,Kentucky,Client Vendor,Active,
CDW,CDW,,,vendor,Active,
CKP,CENTRAL KENTUCKY PROCESSING,Lexington,Kentucky,vendor,Active,
CKY,"CENTRAL KY COLLISION & AUTOCARE, LLC",Mount Vernon,Kentucky,vendor,Active,
CCW,"CHAMPION CHISEL WORKS, INC.",Rock Falls,Illinois,vendor,Active,
CHAP,Chapin International,Batavia,New York,Client Vendor,Active,Chapin
C&O-KY,CLARK AND OSBORNE,Louisville,Kentucky,vendor,Active,
CF,CLEAN FREAK,Knoxville,Tennessee,vendor,Active,
CFH,CLEVELAND FLAME HARDENING,Euclid,Ohio,vendor,Active,
CHFC,CLEVELAND HARDWARE & FORGING COMPANY,Green Bay,Wisconsin,Client Vendor,Active,
Client1,Client Template,,,Client,Active,
Client_Vendor1,Client_Vendor Template,,,Client Vendor,Active,
CLOUD9,CLOUD 9 INFO SYSTEMS,Downers Grove,Illinois,vendor,Active,
CSS,CNC SPECIALTY STORE,Williams Bay,Wisconsin,vendor,Active,
CMC,COLUMBUS MCKINNON,College Station,Texas,Client Vendor,Active,CMC
CFP,COMMERCIAL FORGED PRODUCTS,Chicago,Illinois,Client Vendor,Active,CFP
COM-SIGN,COMPLIANCE SIGNS,,Washington,vendor,Active,
CATI,COMPUTER AIDED TECHNOLOGY INC.,Buffalo Grove,Illinois,vendor,Active,
CPR,COMPUTERS PLUS REPAIR,Lexington,Kentucky,vendor,Active,
CED,CONSOLIDATED ELECTRICAL DISTRIBUTORS,London,Kentucky,vendor,Active,
CMI,CONSTELLATION MOLD INC,Evansville,Indiana,vendor,Active,
CBS,COPPER AND BRASS SALES-THYSSENKRUPP-MATERIALS,Detroit,Michigan,vendor,Active,
CRNLL,CORNELL FORGE,Chicago,Illinois,Client Vendor,Active,
CPE,CPE,Barbourville,Kentucky,Client Vendor,Active,
CRANE-SS,CRANE SAFETY STICKERS,Norwalk,Ohio,vendor,Active,
CRESS,CRESS MANUFACTURING CO.,Carson City,Nevada,vendor,Active,
CIF,CROMBIE INDUSTRIAL FURNACE AND OVEN,Painesville,Ohio,vendor,Active,
CT,"CROMER TRUCKING, LLC",Mount Vernon,Kentucky,vendor,Active,
CM,"CROWN MARKETING, INC.",Nicholasville,Kentucky,vendor,Active,
CTI,CUTTING TOOLS INC.,Louisville,Kentucky,vendor,Active,
DBE1,D & B Electric and Communications,Berea,Kentucky,vendor,Active,
D&C,D & C Machine,Corbin,Kentucky,Client Vendor,Active,
D&B,D&B Electrical,Portland,Tennessee,vendor,Active,
D&M,D&M,Cabot,Arkansas,Client Vendor,Active,
D-M-E,D-M-E COMPANY,Minneaplois,Minnesota,vendor,Active,
DAREX,DAREX,Medford,Oregon,vendor,Active,
DB-ELC,DB ELECTRICAL,Kingsport,Tennessee,vendor,Active,
DELL,DELL TECHNOLOGIES,Round Rock,Texas,vendor,Active,
DEUBLIN,DEUBLIN,Waukegan,Illinois,vendor,Active,
DIEHL,DIEHL TOOL STEEL,Cincinnati,Ohio,Client Vendor,Active,
DMI,"DILLON MANUFACTURING, INC.",Springfield,Ohio,vendor,Active,
DSIS,DS INDUSTRIAL SERVICES,Cynthiana,Kentucky,vendor,Active,
DSS,DSS TECHNICAL SERVICES,Greensboro,North Carolina,vendor,Active,
