ObjId,ObjType,ObjTxt,DescrTxt,EntryDate,OrderNo,Norm,Supplier,StorageLocation
3029,11,C-1,"1/4"" Square Endmill -  2.5"" Overall Length",2024-12-17 03:00:00,GARR-13157,Garr Tool,Rocket Supply,ZTO_1
3031,11,C-10,"3/8""-16 UNC OSG EXOTAP Cut Tap",2024-12-17 03:00:00,OSG-1753001,OSG,Rocket Supply,ZTO_1
3033,11,C-11,"5/8""-11 UNC OSG EXOTAP Cut Tap",2024-12-17 03:00:00,OSG-1753601,OSG,Rocket Supply,ZTO_1
3035,11,C-12,M12x1.75 ISO OSG HY-PRO Cut Tap,2024-12-17 03:00:00,OSG-2992301,OSG,Rocket Supply,ZTO_1
3037,11,C-13,"5/8""-18 UNF OSG Cut Tap",2024-12-17 03:00:00,OSG-2013000,OSG,Rocket Supply,ZTO_1
3039,11,C-14,"5/16""-18 UNC OSG Cut Tap",2024-12-17 03:00:00,OSG-1231000,OSG,Rocket Supply,ZTO_1
3041,11,C-15,"3/4""-10 UNC OSG HY-PRO Cut Tap",2024-12-17 03:00:00,OSG-2233601,OSG,Rocket Supply,ZTO_1
3043,11,C-16,"5/8""-11 UNC OSG A-Brand Threadmill",2024-12-17 03:00:00,OSG-1662501817,OSG,Rocket Supply,ZTO_1
3045,11,C-17,"1/2""-13 UNC OSG A-Brand Threadmill",2024-12-17 03:00:00,OSG-1662501217,OSG,Rocket Supply,ZTO_1
3047,11,C-18,"3/16"" OSG Ball Endmill - 2.25"" OAL",2024-12-17 03:00:00,OSG-VG441-1875-BN,OSG,Rocket Supply,ZTO_1
3049,11,C-19,"1/2""-13 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625012138,OSG,Rocket Supply,ZTO_1
3051,11,C-2,"3/8""-18 NPT OSG HY-PRO Cut Tap",2024-12-17 03:00:00,OSG-1205300408,OSG,Rocket Supply,ZTO_1
3053,11,C-20,"5/16"" OSG Bull Endmill w/ .03r - 2.5"" OAL",2024-12-17 03:00:00,OSG-VG434-3126,OSG,Rocket Supply,ZTO_1
3055,11,C-21,#10-32 UNF OSG Form Tap,2024-12-17 03:00:00,OSG-1625010326,OSG,Rocket Supply,ZTO_1
3057,11,C-22,"3/32"" OSG WXL Ball Endmill - 2.5"" OAL",2024-12-17 03:00:00,OSG-36900911,OSG,Rocket Supply,ZTO_1
3059,11,C-23,"7/16""-14 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625076148,OSG,Rocket Supply,ZTO_1
3061,11,C-24,"0.590"" Allied TA Pro Carbide Insert",2024-12-17 03:00:00,ALLI-TAP0-15.00,Allied,Rocket Supply,ZTO_1
3063,11,C-25,M5x0.8 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635005087,OSG,Rocket Supply,ZTO_1
3065,11,C-26,"0.787"" Allied TA Pro Carbide Insert",2024-12-17 03:00:00,ALLI-TAP1-20.00,Allied,Rocket Supply,ZTO_1
3067,11,C-27,M6x1.0 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635006018,OSG,Rocket Supply,ZTO_1
3069,11,C-28,"9/16"" IC Insert for Allied APX Drill - AM300 Coating",2024-12-17 03:00:00,ALLI-OP-090608-PW,Allied,Rocket Supply,ZTO_1
3071,11,C-29,M12x1.75 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635012751,OSG,Rocket Supply,ZTO_1
3073,11,C-3,"1/2""-13 UNC OSG EXTOTAP Cut Tap",2024-12-17 03:00:00,OSG-1753401,OSG,Rocket Supply,ZTO_1
3075,11,C-30,M4x0.7 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635004076,OSG,Rocket Supply,ZTO_1
3077,11,C-31,M16x2.0 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635016202,OSG,Rocket Supply,ZTO_1
3079,11,C-32,"0.020"" Harvey Tool Bull Endmill - w/ .005r - 0.100"" Flute - 2.5"" OAL",2024-12-17 03:00:00,HARV-959620-C3,Harvey Tool,Rocket Supply,ZTO_1
3081,11,C-33,3.2mm OSG A-Brand 30D Taper Length Carbide Drill,2024-12-17 03:00:00,OSG-8708320,OSG,Rocket Supply,ZTO_1
